time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.80037798569e-07,-4.68636312102e-08,10.0015516053,6.28310908383,0.000283944678558,0.0,-2.41024790837e-05,-5.05460198362e-06,0.051718721801,-0.00394078527026,0.0128266429129,0.0,420.1289224797322,421.2393011978499,422.09151665009637,421.75137819833924
0.12000000000000001,-1.17737620466e-05,-3.30496586198e-06,10.0107560253,6.28268384382,0.000927671219282,0.0,-0.000442352864412,-0.000141317584595,0.255071137665,-0.0142696893132,0.0061630015175,0.0,468.54520149740694,468.02682049997725,469.22919784526744,468.4269202724964
0.18,-5.7303938855e-05,-2.29404277362e-05,10.0275256396,6.28286942819,0.0011910330214,0.0,-0.00110544753448,-0.000532731746531,0.303903807241,0.0249809455921,0.00058237179889,0.0,420.1089303190968,419.6247722661008,419.2937956592676,422.6894287317781
0.23999999999999996,-0.000152640046537,-5.5942466397e-05,10.0523847613,0.000988128308777,0.00113282883104,0.0,-0.00207117405413,-0.000398168774209,0.524657861327,0.0142859561297,-0.00427157281006,0.0,473.90379156980515,473.53062763859566,474.283339865826,473.4613273333435
0.3,-0.000302590006254,-5.21302282493e-05,10.0897967949,0.00231634282382,0.00045041675012,0.0,-0.00287983204997,0.000656325458684,0.722305437152,0.0344495104371,-0.0319706604742,0.0,467.3442632293684,465.18066370036075,467.29277061819823,468.8617041607476
0.36000000000000004,-0.000478936477186,5.56506844081e-05,10.1408506558,0.00407215172036,6.28240702133,0.0,-0.00280944512706,0.00317879201263,0.979304739007,0.0160819050973,-0.00401049511601,0.0,483.9985265071167,486.09797686722595,485.0897087352364,483.7088303054849
0.4200000000000001,-0.000629081014371,0.000341122642751,10.2042557137,0.00493471249816,6.28185267611,0.0,-0.00215488549049,0.00643721214779,1.13405575189,0.0107252320514,-0.0225653189999,0.0,455.1858913912227,453.69887183116316,455.6081277041647,455.179589009622
0.48000000000000015,-0.000725776139276,0.000832396512063,10.2751853004,0.00643081203921,6.28019704321,0.0,-0.000918469338328,0.0100559821672,1.23016408961,0.0440806663553,-0.0402575504259,0.0,438.3039394519854,436.8309900014169,434.968450977208,437.7527235081985
0.5400000000000001,-0.000710146923452,0.00157907157223,10.3519007918,0.00981227273481,6.27757321113,0.0,0.00169373837438,0.0151457049292,1.32690803727,0.0736284378976,-0.0517807106961,0.0,437.6409819478082,436.67975630046885,436.39094220268527,438.8522355359364
0.6000000000000002,-0.000445428801035,0.00276788893801,10.4401976293,0.0142984376436,6.2742632607,0.0,0.00754359794515,0.0250563728321,1.61594799549,0.0769577437188,-0.0629779767614,0.0,496.2206929555764,495.3963816960625,494.00565232876886,494.25482167754507
0.6600000000000003,0.000218927840807,0.0046046254413,10.5414962654,0.0188697821001,6.27042577343,0.0,0.0150130200362,0.0366637946251,1.7604494574,0.0746065873079,-0.0659932158123,0.0,453.3995474714336,453.1543472865254,453.56446417198464,453.38006860932086
0.7200000000000003,0.0014124066301,0.00723160461857,10.651150823,0.0232335011797,6.26641888308,0.0,0.0251930693,0.0513712160597,1.89447372967,0.068682513452,-0.068405782847,0.0,450.93449293965546,450.7363142679496,450.6709631970226,450.1959256811452
0.7800000000000004,0.00328233775119,0.0108059255783,10.7676635663,0.0273224006259,6.26311657269,0.0,0.0375015463507,0.068184190284,1.98910657324,0.0670585262044,-0.0366934983479,0.0,436.5352260589002,439.1708890801006,439.81503741220916,439.6840737663318
0.8400000000000004,0.00591036664092,0.0154148677552,10.887799398,0.031335899676,6.26091826813,0.0,0.0502989034109,0.0858117241496,2.01535903359,0.0665559656533,-0.036528484575,0.0,417.3364962900713,417.35018769508986,416.5644991491388,416.5242220427393
0.9000000000000005,0.00946591473882,0.021324575583,11.014782826,0.0352775751932,6.25913463335,0.0,0.068440573877,0.111630704604,2.21703039535,0.0639145645456,-0.0187583387542,0.0,472.0320143068959,473.40099733042183,471.4849831853855,471.2838013370786
0.9600000000000005,0.014145841928,0.0288736086377,11.1537673034,0.0396870840166,6.25763187581,0.0,0.0876950663907,0.140474885571,2.41536345907,0.0878595874499,-0.042197163487,0.0,472.55440382589563,470.74409308398947,471.17585386878125,473.0270338559869
1.0200000000000005,0.019945400741,0.0381422064351,11.301684272,0.0448017117839,6.25522837887,0.0,0.105869185788,0.168998914981,2.51495557277,0.0794227970099,-0.0360921910224,0.0,441.82257025463247,442.32476364653223,443.61012274010875,442.9227892257928
1.0800000000000005,0.0268472407233,0.0491675834774,11.4542958418,0.0495202661809,6.25338394234,0.0,0.124378518254,0.198960506843,2.57193865906,0.0770356087561,-0.0217527462683,0.0,428.5240602723422,429.7408423378309,430.1193645303292,429.9223167300543
1.1400000000000006,0.0349857456964,0.0622378405447,11.6134150881,0.0544867808004,6.25201820572,0.0,0.147041483977,0.237228456796,2.73162975716,0.0923050613285,-0.0248616595342,0.0,461.7695303220581,461.52420720746767,461.8921161181268,463.0999341126493
1.2000000000000006,0.0446123157413,0.0778905750735,11.7851944688,0.0601808834193,6.25076146333,0.0,0.173995169248,0.285199601463,2.9936459772,0.0996426909414,-0.0140826650795,0.0,492.94249290812917,493.73840683445883,492.06287289545753,492.61242639727374
1.2600000000000007,0.0558013237309,0.0964126133572,11.9701312992,0.0666351736974,6.25041661386,0.0,0.199018644455,0.332879321824,3.17038367814,0.11997317143,0.00716215589596,0.0,468.9578914099968,470.60529276169456,468.4058761516704,469.9935599388176
